Y,x2,x3,x1,x4
48,24.34121109,3.293414016,7.615692231,14.6
38,38.32896941,1.462885493,14.88079169,3.2
72,72.96221734,1.253205422,57.72661319,3.8
9,2.319645012,9.593910418,1.10383636,13
8,8.585103432,1.198888246,8.17105164,3
59,12.34360603,2.527386884,44.95348804,16.8
73,12.51301495,0.687062725,49.46274354,21.25
95,16.58888895,7.532825021,59.74910429,28.8
55,14.31356448,8.888515771,6.306660709,34.5
18,3.176766384,1.612568825,17.52112646,20.33333333
48,16.45079158,3.671831986,27.25244956,38
100,11.60320948,2.686922276,2.239366253,49.5
48,6.296739417,1.009820524,10.91872712,15.25
28,3.636632774,2.642132877,19.58378156,28.2
48,24.79830017,4.260655927,36.76612035,18.8
78,8.740772241,1.835515976,29.34090882,22.4
68,8.532787295,4.840385869,34.35083336,39.33333333
81,20.4586855,7.181001728,4.469702154,74
25,3.741124824,0.903375282,15.89194678,46
39,39.47010502,7.796412033,31.07509134,14.33333333
4,0.738667412,9.178808378,3.983954204,22.25
65,11.35094747,5.6817697,39.13213454,18.66666667
54,14.18487487,9.334745129,20.01649183,42
63,32.15469108,4.47696087,46.12953993,1.6
35,4.091408533,4.246645779,3.509076123,74
9,1.150553424,1.070881715,7.298838135,10.66666667
8,1.707741806,6.652442572,3.423617722,32
37,6.295682039,1.828914915,14.63526579,37
65,8.31333867,3.099284171,19.65387592,7.8
1,1.151049157,1.956695899,1.698794314,68
85,21.46417383,1.202376347,84.88993171,11.66666667
18,6.659947036,2.712782965,18.29281626,20.5
91,30.97754181,8.238008464,19.22154377,6
25,3.016952895,4.408775266,13.72692567,37
97,11.59094573,4.175523802,76.89609262,9
59,6.994575458,4.494715803,6.870015741,17.8
41,5.32275826,5.508375251,5.633888983,23
70,9.327534922,0.816602082,60.78330155,15.66666667
81,20.33962855,3.181544024,58.47832278,7.666666667
58,29.94524473,2.388438347,42.4807821,44
3,1.442602846,8.443634572,2.98225303,34.5
92,92.87460722,10.63903371,72.39539784,21.75
59,29.71065384,3.204758583,22.81462212,27.5
4,1.274614482,5.800751186,2.635295509,7
81,27.03500465,2.501652426,33.4428151,30.5
6,1.410069958,7.034747058,4.765318503,9.5
0,0.139035749,10,0.623361076,6.6
60,60.36291722,13.96281687,50.14770663,28.5
78,9.120080437,6.516030848,27.87652255,1.2
57,7.911563026,0.753258705,52.67660385,37
